                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.99487,                 1.0226,                 1.1808,                0.45402,                0.56005,                 0.5292,                0.32406,                 1.1794,                 1.2758,                 1.3777,              0.0086932,              0.0086932,              0.0086932
                     35,                0.98822,                 1.0399,                 1.1767,                0.69597,                0.38434,                0.44625,                0.30684,                 1.1694,                 1.2472,                 1.3559,              0.0086536,              0.0086536,              0.0086536
                     36,                0.97084,                 1.0023,                 1.1621,                0.72447,                0.37353,                 0.4561,                 0.3127,                 1.1343,                 1.3007,                 1.3381,               0.008614,               0.008614,               0.008614
                     37,                0.97218,                0.98212,                 1.1554,                0.73391,                0.35857,                0.53838,                0.38198,                 1.1264,                  1.213,                 1.3152,              0.0085744,              0.0085744,              0.0085744
                     38,                0.96766,                0.96837,                 1.1558,                0.72046,                0.39287,                0.46914,                0.30642,                 1.1482,                 1.2547,                 1.3278,              0.0085348,              0.0085348,              0.0085348
                     39,                 0.9708,                0.95754,                 1.1612,                0.68479,                0.48332,                0.47556,                0.31501,                 1.1417,                  1.301,                 1.3524,              0.0084952,              0.0084952,              0.0084952
                     40,                0.97186,                 0.9622,                 1.1393,                0.40676,                0.54924,                0.44027,                0.30376,                 1.1526,                  1.325,                 1.3422,              0.0084556,              0.0084556,              0.0084556
                     41,                 0.9275,                0.90919,                 1.1335,                0.66484,                0.42596,                 0.4914,                 0.3355,                 1.1372,                 1.2427,                 1.3568,               0.008416,               0.008416,               0.008416
                     42,                0.94693,                0.93696,                 1.1531,                0.68154,                0.42145,                0.47179,                0.30849,                 1.1345,                 1.2278,                  1.321,              0.0083764,              0.0083764,              0.0083764
                     43,                0.93265,                0.92192,                 1.1409,                 0.5743,                0.51847,                0.54463,                0.36632,                  1.134,                 1.2941,                 1.3435,              0.0083368,              0.0083368,              0.0083368
